Totales Territoriales	Comunidades y Ciudades Autónomas	Periodo	Total
Total Nacional	12 Galicia	2022M08	1,23
Total Nacional	12 Galicia	2022M07	1,14
Total Nacional	12 Galicia	2022M06	1,14
Total Nacional	12 Galicia	2022M05	1,22
Total Nacional	12 Galicia	2022M04	1,02
Total Nacional	12 Galicia	2022M03	1,02
Total Nacional	12 Galicia	2022M02	1,05
Total Nacional	12 Galicia	2022M01	1,25
Total Nacional	12 Galicia	2021M12	1,08
Total Nacional	12 Galicia	2021M11	1,07
Total Nacional	12 Galicia	2021M10	1,24
Total Nacional	12 Galicia	2021M09	1,21
Total Nacional	12 Galicia	2021M08	1,16
Total Nacional	12 Galicia	2021M07	1,24
Total Nacional	12 Galicia	2021M06	1,21
Total Nacional	12 Galicia	2021M05	1,20
Total Nacional	12 Galicia	2021M04	1,53
Total Nacional	12 Galicia	2021M03	1,74
Total Nacional	12 Galicia	2021M02	.
Total Nacional	12 Galicia	2021M01	.
Total Nacional	12 Galicia	2020M12	.
Total Nacional	12 Galicia	2020M11	.
Total Nacional	12 Galicia	2020M10	.
Total Nacional	12 Galicia	2020M09	2,40
Total Nacional	12 Galicia	2020M08	3,48
Total Nacional	12 Galicia	2020M07	4,95
Total Nacional	12 Galicia	2020M06	.
Total Nacional	12 Galicia	2020M05	.
Total Nacional	12 Galicia	2020M04	.
Total Nacional	12 Galicia	2020M03	.
Total Nacional	12 Galicia	2020M02	.
Total Nacional	12 Galicia	2020M01	.
Total Nacional	12 Galicia	2019M12	2,49
Total Nacional	12 Galicia	2019M11	1,42
Total Nacional	12 Galicia	2019M10	2,41
Total Nacional	12 Galicia	2019M09	1,70
Total Nacional	12 Galicia	2019M08	1,90
Total Nacional	12 Galicia	2019M07	3,63
Total Nacional	12 Galicia	2019M06	2,08
Total Nacional	12 Galicia	2019M05	.
Total Nacional	12 Galicia	2019M04	2,18
Total Nacional	12 Galicia	2019M03	.
Total Nacional	12 Galicia	2019M02	.
Total Nacional	12 Galicia	2019M01	.
Total Nacional	12 Galicia	2018M12	.
Total Nacional	12 Galicia	2018M11	.
Total Nacional	12 Galicia	2018M10	1,64
Total Nacional	12 Galicia	2018M09	3,69
Total Nacional	12 Galicia	2018M08	7,20
Total Nacional	12 Galicia	2018M07	9,04
Total Nacional	12 Galicia	2018M06	2,61
Total Nacional	12 Galicia	2018M05	1,11
Total Nacional	12 Galicia	2018M04	2,65
Total Nacional	12 Galicia	2018M03	1,67
Total Nacional	12 Galicia	2018M02	.
Total Nacional	12 Galicia	2018M01	.
Total Nacional	12 Galicia	2017M12	2,10
Total Nacional	12 Galicia	2017M11	.
Total Nacional	12 Galicia	2017M10	1,76
Total Nacional	12 Galicia	2017M09	2,80
Total Nacional	12 Galicia	2017M08	5,94
Total Nacional	12 Galicia	2017M07	5,83
Total Nacional	12 Galicia	2017M06	2,82
Total Nacional	12 Galicia	2017M05	1,84
Total Nacional	12 Galicia	2017M04	.
Total Nacional	12 Galicia	2017M03	.
Total Nacional	12 Galicia	2017M02	.
Total Nacional	12 Galicia	2017M01	.
Total Nacional	12 Galicia	2016M12	1,88
Total Nacional	12 Galicia	2016M11	1,28
Total Nacional	12 Galicia	2016M10	1,54
Total Nacional	12 Galicia	2016M09	1,70
Total Nacional	12 Galicia	2016M08	5,07
Total Nacional	12 Galicia	2016M07	5,99
Total Nacional	12 Galicia	2016M06	2,57
Total Nacional	12 Galicia	2016M05	1,24
Total Nacional	12 Galicia	2016M04	1,72
Total Nacional	12 Galicia	2016M03	1,84
Total Nacional	12 Galicia	2016M02	1,34
Total Nacional	12 Galicia	2016M01	1,47
Total Nacional	12 Galicia	2015M12	1,40
Total Nacional	12 Galicia	2015M11	1,30
Total Nacional	12 Galicia	2015M10	1,54
Total Nacional	12 Galicia	2015M09	1,28
Total Nacional	12 Galicia	2015M08	6,22
Total Nacional	12 Galicia	2015M07	7,46
Total Nacional	12 Galicia	2015M06	2,18
Total Nacional	12 Galicia	2015M05	1,31
Total Nacional	12 Galicia	2015M04	2,85
Total Nacional	12 Galicia	2015M03	1,79
Total Nacional	12 Galicia	2015M02	1,64
Total Nacional	12 Galicia	2015M01	1,17
Total Nacional	12 Galicia	2014M12	1,17
Total Nacional	12 Galicia	2014M11	1,13
Total Nacional	12 Galicia	2014M10	1,45
Total Nacional	12 Galicia	2014M09	2,02
Total Nacional	12 Galicia	2014M08	3,26
Total Nacional	12 Galicia	2014M07	4,60
Total Nacional	12 Galicia	2014M06	2,51
Total Nacional	12 Galicia	2014M05	1,93
Total Nacional	12 Galicia	2014M04	7,84
Total Nacional	12 Galicia	2014M03	1,67
Total Nacional	12 Galicia	2014M02	1,57
Total Nacional	12 Galicia	2014M01	1,59
